Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Returns,Volatility,Volume_MA,Price_MA,Hour,Day,Month,Year,DayOfWeek,Ticker
2020-05-18 00:00:00+01:00,99.06937894790877,105.18945352519206,98.89964833932974,105.02970886230469,49098546,0.0,0.0,,,,,0,18,5,2020,0,BARC.L
2020-05-19 00:00:00+01:00,107.40584679518182,108.06477439853435,102.44289338895139,104.55047607421875,49855725,0.0,0.0,-0.004562830776901561,,,,0,19,5,2020,1,BARC.L
2020-05-20 00:00:00+01:00,103.71183468656379,106.60714164454352,101.23585361495809,106.5472412109375,39082367,0.0,0.0,0.019098575269052676,,,,0,20,5,2020,2,BARC.L
2020-05-21 00:00:00+01:00,104.23100400031917,105.68664404530578,103.01297765686188,103.75177764892578,49566772,0.0,0.0,-0.026236846024735527,,,,0,21,5,2020,3,BARC.L
2020-05-22 00:00:00+01:00,102.13440115682268,106.42743580334125,100.43714852416208,102.97303771972656,46027977,0.0,0.0,-0.007505798424334631,,,,0,22,5,2020,4,BARC.L
2020-05-26 00:00:00+01:00,107.44578917996756,110.6406060235147,106.41845557927202,110.60066986083984,81042993,0.0,0.0,0.07407407132995614,,,,0,26,5,2020,1,BARC.L
2020-05-27 00:00:00+01:00,112.55749129018521,121.20347590292837,110.9181511106438,119.64599609375,110243263,0.0,0.0,0.08178364782321101,,,,0,27,5,2020,2,BARC.L
2020-05-28 00:00:00+01:00,121.32326822389247,124.73074493761294,118.20832405901069,122.42149353027344,88919715,0.0,0.0,0.023197578917297568,,,,0,28,5,2020,3,BARC.L
2020-05-29 00:00:00+01:00,119.24665730075965,123.08043759195859,114.7339698471527,115.05345153808594,128278561,0.0,0.0,-0.06018585282465505,,,,0,29,5,2020,4,BARC.L
2020-06-01 00:00:00+01:00,117.30979858600371,120.60445980587525,116.61093474762832,120.58448791503906,49810343,0.0,0.0,0.04807362406787252,,,,0,1,6,2020,0,BARC.L
2020-06-02 00:00:00+01:00,121.32328342997117,123.08043652337052,119.04697544970423,119.30655670166016,67513905,0.0,0.0,-0.010597807690482575,,,,0,2,6,2020,1,BARC.L
2020-06-03 00:00:00+01:00,121.86239432478988,125.11711883544922,120.10524907744094,125.11711883544922,75304789,0.0,0.0,0.048702789640631794,,,,0,3,6,2020,2,BARC.L
2020-06-04 00:00:00+01:00,124.53807178353638,125.1610622159124,120.40477412439328,123.3200454711914,82742905,0.0,0.0,-0.014363129370180583,,,,0,4,6,2020,3,BARC.L
2020-06-05 00:00:00+01:00,126.19540256597686,132.50517231342346,124.33841266911978,131.1873016357422,120165390,0.0,0.0,0.06379543677989186,,,,0,5,6,2020,4,BARC.L
2020-06-08 00:00:00+01:00,130.28872574642742,134.50189495480888,128.82210984825883,131.5866241455078,76619331,0.0,0.0,0.003043911299238422,,,,0,8,6,2020,0,BARC.L
2020-06-09 00:00:00+01:00,131.5267594472581,132.2455952101886,124.35837370972571,125.07720947265625,91790897,0.0,0.0,-0.04946866533830585,,,,0,9,6,2020,1,BARC.L
2020-06-10 00:00:00+01:00,126.0755708111251,130.0690954240441,123.16029967178474,123.79926300048828,61592626,0.0,0.0,-0.010217260822782848,,,,0,10,6,2020,2,BARC.L
2020-06-11 00:00:00+01:00,119.0070330329209,120.56451284576906,113.81545396887738,114.81383514404297,76691563,0.0,0.0,-0.07258062478457461,,,,0,11,6,2020,3,BARC.L
2020-06-12 00:00:00+01:00,112.31787557530042,121.20346903311064,111.81868501718796,116.87049102783203,69936980,0.0,0.0,0.017912962154855494,,,,0,12,6,2020,4,BARC.L
2020-06-15 00:00:00+01:00,112.01836776002995,118.62765405601013,112.83704004056757,115.91205596923828,45669811,0.0,0.0,-0.008200830253767832,,72997722.95,116.90744209289551,0,15,6,2020,0,BARC.L
2020-06-16 00:00:00+01:00,121.26338087042082,126.27525881090396,118.967108657309,122.48140716552734,73561276,0.0,0.0,0.05667530561301137,0.04381781168691284,74220859.45,117.78002700805663,0,16,6,2020,1,BARC.L
2020-06-17 00:00:00+01:00,122.70105077288356,124.07881408415922,118.16839921935401,119.1867446899414,52763860,0.0,0.0,-0.026899286608728867,0.04445162011265739,74366266.2,118.51184043884277,0,17,6,2020,2,BARC.L
2020-06-18 00:00:00+01:00,118.66758972325152,120.8041248761606,116.86052219354983,118.44794464111328,58057406,0.0,0.0,-0.006198676293660665,0.04446427948197936,75315018.15,119.10687561035157,0,18,6,2020,3,BARC.L
2020-06-19 00:00:00+01:00,119.92554953724022,120.44470439697513,116.37130737304688,116.37130737304688,95260381,0.0,0.0,-0.017532066718071282,0.044171283751232325,77599698.6,119.73785209655762,0,19,6,2020,4,BARC.L
2020-06-22 00:00:00+01:00,115.65247669895551,118.3081743964408,114.39452184787278,115.11335754394531,76213234,0.0,0.0,-0.010809793732651007,0.04423324784724985,79108961.45,120.34486808776856,0,22,6,2020,0,BARC.L
