Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Returns,Volatility,Volume_MA,Price_MA,Hour,Day,Month,Year,DayOfWeek,Ticker
2020-05-18 00:00:00+05:00,26.136886823528442,26.136886823528442,25.605981621501492,25.671323776245117,1995058,0.0,0.0,0.0,,,,,0,18,5,2020,0,EFERT.KA
2020-05-19 00:00:00+05:00,25.671325404694763,25.851015952168368,25.524305157725472,25.548809051513672,2191732,0.0,0.0,0.0,-0.004772435025139354,,,,0,19,5,2020,1,EFERT.KA
2020-05-20 00:00:00+05:00,25.712160604862426,25.712160604862426,25.11591328134283,25.36911392211914,1786500,0.0,0.0,0.0,-0.007033405315770902,,,,0,20,5,2020,2,EFERT.KA
2020-05-21 00:00:00+05:00,25.369122237573325,25.369122237573325,24.99340513506807,25.038328170776367,1202515,0.0,0.0,0.0,-0.013038916233269138,,,,0,21,5,2020,3,EFERT.KA
2020-05-22 00:00:00+05:00,25.038328170776367,25.038328170776367,25.038328170776367,25.038328170776367,0,0.0,0.0,0.0,0.0,,,,0,22,5,2020,4,EFERT.KA
2020-05-25 00:00:00+05:00,25.038328170776367,25.038328170776367,25.038328170776367,25.038328170776367,0,0.0,0.0,0.0,0.0,,,,0,25,5,2020,0,EFERT.KA
2020-05-26 00:00:00+05:00,25.038328170776367,25.038328170776367,25.038328170776367,25.038328170776367,0,0.0,0.0,0.0,0.0,,,,0,26,5,2020,1,EFERT.KA
2020-05-27 00:00:00+05:00,25.038328170776367,25.038328170776367,25.038328170776367,25.038328170776367,0,0.0,0.0,0.0,0.0,,,,0,27,5,2020,2,EFERT.KA
2020-05-28 00:00:00+05:00,25.0954982371677,25.0954982371677,24.299139569938255,24.544172286987305,3410276,0.0,0.0,0.0,-0.019735977594774856,,,,0,28,5,2020,3,EFERT.KA
2020-05-29 00:00:00+05:00,24.699359005160474,24.70752696961668,24.303221297373966,24.41348648071289,2340281,0.0,0.0,0.0,-0.005324514705419503,,,,0,29,5,2020,4,EFERT.KA
